Database: mbFirstStudy
Exercise: 6
Age classes: [2,11], [12,21], [22,31], [32,41], [42,51], [52,61], [62,71], [72,81], 
Gender: -
Dominant hand: -
Session hand: -

userID;gender;dominantHand;age
MB_PM_01_75084084;donna;destra;58

MB_SI_02_e4c30d07;uomo;destra;65

MB_DD_01_4481c1a7;donna;destra;56

MB_SA_03_fe829bab;uomo;destra;22

MB_VD_02_60d9f04f;donna;destra;28

MB_SA_04_37b32374;uomo;destra;62

MB_AD_03_8d35d60b;uomo;destra;70

MB_SA_05_1a184647;donna;destra;56

MB_GD_04_4cdae1ae;donna;destra;64

MB_AM_01_5f3ba547;uomo;destra;23

MB_AM_02_614cca40;donna;destra;19

MB_AB_05_e4807c46;uomo;destra;23

MB_SA_06_04d6aab6;donna;destra;23

MB_SA_07_0042352e;donna;destra;24

MB_AM_03_ae481d48;uomo;destra;24

MB_SA_08_b14dc13e;uomo;destra;25

MB_AB_06_ad206935;uomo;destra;24

MB_AB_07_8efbbd16;uomo;destra;55

MB_SA_09_349c6818;uomo;destra;26

MB_SA_10_d90680f2;donna;destra;67

MB_SA_11_6948856a;uomo;destra;74

MB_AM_04_018f1546;donna;destra;50

MB_AM_05_15a1dd50;uomo;destra;53

MB_SA_12_cdbbad18;uomo;destra;24

MB_AB_08_bb32e250;uomo;destra;24

MB_SA_13_bab95c2b;donna;destra;22

MB_SA_14_e07bf58d;donna;destra;22

MB_AM_06_cb990098;donna;destra;19

MB_AM_07_a6a69dbb;uomo;destra;22

MB_AB_09_ad12f9ce;donna;destra;24

MB_AM_08_7a9ba2a1;donna;destra;21

MB_SA_15_1d3c630b;donna;destra;65

MB_SA_16_6c2f44e0;uomo;destra;65

MB_SZ_01_4baf2dd6;uomo;destra;19

MB_AM_09_129146e1;uomo;destra;20

MB_AM_10_b15899f4;uomo;destra;21

MB_SZ_02_a2c1aa76;donna;destra;62

MB_SA_17_20a0fe15;uomo;destra;22

MP_AP_01_40f307c6;donna;destra;23

MP_AP_02_5f60ca9a;uomo;destra;24

MB_AP_03_f57fb0d7;donna;destra;23

MB_SZ_03_a1e2d225;donna;destra;52

MB_AB_10_e36b1b94;uomo;destra;62

MB_AM_11_fe1a1a6b;uomo;destra;20

MB_AB_11_bf9f1d6d;donna;destra;58

MB_SA_18_406bf9ad;donna;destra;24

MB_AB_12_64ae9d3b;uomo;destra;51

MB_AM_12_4dc34657;donna;destra;21

MB_SA_19_a7478bb0;uomo;destra;51

MB_SA_20_2cd31bf3;uomo;destra;69

MB_SA_21_f9f69a3a;donna;destra;64

MB_AM_13_5796a87a;donna;destra;53

MB_AM_14_5dc6f07c;donna;destra;51

MB_SZ_06_77c6f72e;uomo;destra;23

MB_SZ_05_c4f33325;donna;destra;24

MB_SZ_07_8da6da22;uomo;destra;22

MB_SZ_04_be4571c1;donna;destra;25

MB_AB_13_3a601ab1;uomo;destra;30

MB_AP_04_9b0733d6;donna;destra;59

MB_AP_05_9805bd9d;donna;destra;23

MB_AP_06_810de824;uomo;destra;60

